M,K,N,Command,Elapsed Time
5800,5800,5800,openblas,11253234
5900,5900,5900,blis,24268293
5900,5900,5900,para_blis,8806514
5900,5900,5900,openblas,12044967
6000,6000,6000,blis,25393222
6000,6000,6000,para_blis,8772324
6000,6000,6000,openblas,13068891
6100,6100,6100,blis,26997417
6100,6100,6100,para_blis,9501109
6100,6100,6100,openblas,13625391
6200,6200,6200,blis,28329082
6200,6200,6200,para_blis,9845275
6200,6200,6200,openblas,13849628
6300,6300,6300,blis,29745036
6300,6300,6300,para_blis,10279795
6300,6300,6300,openblas,14758073
6400,6400,6400,blis,30770824
6400,6400,6400,para_blis,10498255
6400,6400,6400,openblas,15339177
6500,6500,6500,blis,32497872
6500,6500,6500,para_blis,11304339
6500,6500,6500,openblas,15808899
6600,6600,6600,blis,33848558
6600,6600,6600,para_blis,11514962
6600,6600,6600,openblas,15983839
6700,6700,6700,blis,35414537
6700,6700,6700,para_blis,11928034
6700,6700,6700,openblas,17128619
6800,6800,6800,blis,37099785
6800,6800,6800,para_blis,12786488
6800,6800,6800,openblas,19113449
6900,6900,6900,blis,38535541
6900,6900,6900,para_blis,13136703
6900,6900,6900,openblas,18231283
7000,7000,7000,blis,40470938
7000,7000,7000,para_blis,14326586
7000,7000,7000,openblas,19381720
7100,7100,7100,blis,42285195
7100,7100,7100,para_blis,14452121
7100,7100,7100,openblas,20560702
7200,7200,7200,blis,44038395
7200,7200,7200,para_blis,15344255
7200,7200,7200,openblas,22505989
7300,7300,7300,blis,45749866
7300,7300,7300,para_blis,15868605
7300,7300,7300,openblas,22701181
7400,7400,7400,blis,47826336
7400,7400,7400,para_blis,16267478
7400,7400,7400,openblas,22154607
7500,7500,7500,blis,49717159
7500,7500,7500,para_blis,16830589
7500,7500,7500,openblas,22928117
7600,7600,7600,blis,51845236
7600,7600,7600,para_blis,17528218
7600,7600,7600,openblas,23878450
7700,7700,7700,blis,53965850
7700,7700,7700,para_blis,19446492
7700,7700,7700,openblas,25372640
7800,7800,7800,blis,55968498
7800,7800,7800,para_blis,19475314
7800,7800,7800,openblas,26208155
7900,7900,7900,blis,58199913
7900,7900,7900,para_blis,19650722
7900,7900,7900,openblas,27441686
8000,8000,8000,blis,60550801
8000,8000,8000,para_blis,20936328
8000,8000,8000,openblas,30405044
8100,8100,8100,blis,63007288
8100,8100,8100,para_blis,22042080
8100,8100,8100,openblas,30277220
8200,8200,8200,blis,67393266
8200,8200,8200,para_blis,25644910
8200,8200,8200,openblas,35489936
8300,8300,8300,blis,67769042
8300,8300,8300,para_blis,23334290
8300,8300,8300,openblas,32253660
8400,8400,8400,blis,69739661
8400,8400,8400,para_blis,23896544
8400,8400,8400,openblas,36009553
8500,8500,8500,blis,72445881
8500,8500,8500,para_blis,24709584
8500,8500,8500,openblas,34227576
8600,8600,8600,blis,75038615
8600,8600,8600,para_blis,25336775
8600,8600,8600,openblas,36495475
8700,8700,8700,blis,77467922
8700,8700,8700,para_blis,26779110
8700,8700,8700,openblas,36396398
8800,8800,8800,blis,80120464
8800,8800,8800,para_blis,27453483
8800,8800,8800,openblas,38962823
8900,8900,8900,blis,82925089
8900,8900,8900,para_blis,27964016
8900,8900,8900,openblas,37399796
9000,9000,9000,blis,85740017
9000,9000,9000,para_blis,29194350
9000,9000,9000,openblas,45343625
9100,9100,9100,blis,88356402
9100,9100,9100,para_blis,29721093
9100,9100,9100,openblas,45882572
9200,9200,9200,blis,91898970
9200,9200,9200,para_blis,32281443
9200,9200,9200,openblas,45233716
9300,9300,9300,blis,94375653
9300,9300,9300,para_blis,32584067
9300,9300,9300,openblas,46860478
9400,9400,9400,blis,97882392
9400,9400,9400,para_blis,34187617
9400,9400,9400,openblas,45512924
9500,9500,9500,blis,100562526
9500,9500,9500,para_blis,34151301
9500,9500,9500,openblas,46235942
9600,9600,9600,blis,103353877
9600,9600,9600,para_blis,35037055
9600,9600,9600,openblas,54177368
9700,9700,9700,blis,107308136
9700,9700,9700,para_blis,37108667
9700,9700,9700,openblas,52089087
9800,9800,9800,blis,109828318
9800,9800,9800,para_blis,36897991
9800,9800,9800,openblas,50330715
9900,9900,9900,blis,114354829
9900,9900,9900,para_blis,39189766
9900,9900,9900,openblas,53666799
10000,10000,10000,blis,117127580
10000,10000,10000,para_blis,39724194
10000,10000,10000,openblas,61544836
