M,K,N,Command,Elapsed Time
4200,4200,4200,pthread_blis,60282019
4300,4300,4300,blis,9455082
4300,4300,4300,para_blis,3286508
4300,4300,4300,atlas,9815590
4300,4300,4300,pthread_blis,62288081
4400,4400,4400,blis,10186877
4400,4400,4400,para_blis,3627730
4400,4400,4400,atlas,10170176
4400,4400,4400,pthread_blis,66596535
4500,4500,4500,blis,10887581
4500,4500,4500,para_blis,3798189
4500,4500,4500,atlas,11042475
4500,4500,4500,pthread_blis,70410273
4600,4600,4600,blis,11600321
4600,4600,4600,para_blis,4365382
4600,4600,4600,atlas,11644862
4600,4600,4600,pthread_blis,76107885
4700,4700,4700,blis,12402741
4700,4700,4700,para_blis,4322140
4700,4700,4700,atlas,12759350
4700,4700,4700,pthread_blis,78373835
4800,4800,4800,blis,13111280
4800,4800,4800,para_blis,4529305
4800,4800,4800,atlas,13167495
4800,4800,4800,pthread_blis,85502363
4900,4900,4900,blis,13951734
4900,4900,4900,para_blis,4901500
4900,4900,4900,atlas,14331492
4900,4900,4900,pthread_blis,89148174
5000,5000,5000,blis,14806939
5000,5000,5000,para_blis,5098739
5000,5000,5000,atlas,15078144
5000,5000,5000,pthread_blis,95719504
5100,5100,5100,blis,15735459
5100,5100,5100,para_blis,5589609
5100,5100,5100,atlas,16352792
5100,5100,5100,pthread_blis,102818145
5200,5200,5200,blis,16678274
5200,5200,5200,para_blis,5940353
5200,5200,5200,atlas,16930967
5200,5200,5200,pthread_blis,107690791
5300,5300,5300,blis,17740956
5300,5300,5300,para_blis,6118692
5300,5300,5300,atlas,17834699
5300,5300,5300,pthread_blis,109638971
5400,5400,5400,blis,18649293
5400,5400,5400,para_blis,6426367
5400,5400,5400,atlas,18717843
5400,5400,5400,pthread_blis,121643134
5500,5500,5500,blis,19695378
5500,5500,5500,para_blis,6791623
5500,5500,5500,atlas,20587163
5500,5500,5500,pthread_blis,117207281
5600,5600,5600,blis,20799728
5600,5600,5600,para_blis,7237946
5600,5600,5600,atlas,21187556
5600,5600,5600,pthread_blis,124400887
5700,5700,5700,blis,21942950
5700,5700,5700,para_blis,7364416
5700,5700,5700,atlas,22508107
5700,5700,5700,pthread_blis,128269452
5800,5800,5800,blis,22996689
5800,5800,5800,para_blis,7889093
5800,5800,5800,atlas,23511178
5800,5800,5800,pthread_blis,133753408
5900,5900,5900,blis,24304685
5900,5900,5900,para_blis,8823051
5900,5900,5900,atlas,24993277
5900,5900,5900,pthread_blis,139406297
6000,6000,6000,blis,25498063
6000,6000,6000,para_blis,8570768
6000,6000,6000,atlas,25727458
6000,6000,6000,pthread_blis,144553338
6100,6100,6100,blis,27061179
6100,6100,6100,para_blis,9420278
6100,6100,6100,atlas,27308450
6100,6100,6100,pthread_blis,156700965
6200,6200,6200,blis,28304066
6200,6200,6200,para_blis,9853017
6200,6200,6200,atlas,28794312
6200,6200,6200,pthread_blis,162812076
6300,6300,6300,blis,29689930
6300,6300,6300,para_blis,10512157
6300,6300,6300,atlas,30848542
6300,6300,6300,pthread_blis,172069881
6400,6400,6400,blis,30700237
6400,6400,6400,para_blis,10473073
6400,6400,6400,atlas,31257956
6400,6400,6400,pthread_blis,191565220
6500,6500,6500,blis,32515142
6500,6500,6500,para_blis,11260595
6500,6500,6500,atlas,32874394
6500,6500,6500,pthread_blis,204422493
6600,6600,6600,blis,33817993
6600,6600,6600,para_blis,11697768
6600,6600,6600,atlas,34137122
6600,6600,6600,pthread_blis,209664587
6700,6700,6700,blis,35438515
6700,6700,6700,para_blis,12174632
6700,6700,6700,atlas,36917359
6700,6700,6700,pthread_blis,220536619
6800,6800,6800,blis,37150202
6800,6800,6800,para_blis,12779754
6800,6800,6800,atlas,37477365
6800,6800,6800,pthread_blis,230705940
6900,6900,6900,blis,38766555
6900,6900,6900,para_blis,13125246
6900,6900,6900,atlas,39293556
6900,6900,6900,pthread_blis,239868351
7000,7000,7000,blis,40647825
7000,7000,7000,para_blis,14342378
7000,7000,7000,atlas,40710048
7000,7000,7000,pthread_blis,256948163
7100,7100,7100,blis,42228958
7100,7100,7100,para_blis,14884524
7100,7100,7100,atlas,43904127
7100,7100,7100,pthread_blis,265807359
7200,7200,7200,blis,44058224
7200,7200,7200,para_blis,15510588
7200,7200,7200,atlas,44925842
7200,7200,7200,pthread_blis,277476958
7300,7300,7300,blis,46077905
7300,7300,7300,para_blis,15773611
7300,7300,7300,atlas,47146682
7300,7300,7300,pthread_blis,286632574
7400,7400,7400,blis,47916991
7400,7400,7400,para_blis,16495615
7400,7400,7400,atlas,48740736
7400,7400,7400,pthread_blis,298242365
7500,7500,7500,blis,49851797
7500,7500,7500,para_blis,16932089
7500,7500,7500,atlas,50966358
7500,7500,7500,pthread_blis,308504693
7600,7600,7600,blis,51749768
7600,7600,7600,para_blis,17725753
7600,7600,7600,atlas,52083919
7600,7600,7600,pthread_blis,322887492
7700,7700,7700,blis,53971308
7700,7700,7700,para_blis,18952952
7700,7700,7700,atlas,54610661
7700,7700,7700,pthread_blis,338001716
7800,7800,7800,blis,55926252
7800,7800,7800,para_blis,19378302
7800,7800,7800,atlas,56313752
7800,7800,7800,pthread_blis,347593231
7900,7900,7900,blis,58220619
7900,7900,7900,para_blis,19643739
7900,7900,7900,atlas,59582468
7900,7900,7900,pthread_blis,357371833
8000,8000,8000,blis,60539642
8000,8000,8000,para_blis,21104835
8000,8000,8000,atlas,60797225
8000,8000,8000,pthread_blis,379713692
8100,8100,8100,blis,63126552
8100,8100,8100,para_blis,22225094
8100,8100,8100,atlas,64332681
8100,8100,8100,pthread_blis,396129624
8200,8200,8200,blis,67785503
8200,8200,8200,para_blis,25684479
8200,8200,8200,atlas,66073446
8200,8200,8200,pthread_blis,434570491
8300,8300,8300,blis,67785884
8300,8300,8300,para_blis,23768811
8300,8300,8300,atlas,69152786
8300,8300,8300,pthread_blis,433969008
8400,8400,8400,blis,70071829
8400,8400,8400,para_blis,24118259
8400,8400,8400,atlas,70328116
8400,8400,8400,pthread_blis,434817430
8500,8500,8500,blis,72395301
8500,8500,8500,para_blis,24854201
8500,8500,8500,atlas,73238591
8500,8500,8500,pthread_blis,443987810
8600,8600,8600,blis,74927244
8600,8600,8600,para_blis,26079863
8600,8600,8600,atlas,75470123
8600,8600,8600,pthread_blis,463810893
8700,8700,8700,blis,77608939
8700,8700,8700,para_blis,27298495
8700,8700,8700,atlas,80188697
8700,8700,8700,pthread_blis,483946194
8800,8800,8800,blis,80236849
8800,8800,8800,para_blis,27692918
8800,8800,8800,atlas,80668436
8800,8800,8800,pthread_blis,496453387
8900,8900,8900,blis,83208664
8900,8900,8900,para_blis,28031670
8900,8900,8900,atlas,84881364
8900,8900,8900,pthread_blis,511522784
9000,9000,9000,blis,85881213
9000,9000,9000,para_blis,29993688
9000,9000,9000,atlas,86371017
9000,9000,9000,pthread_blis,529809605
9100,9100,9100,blis,88607214
9100,9100,9100,para_blis,30633453
9100,9100,9100,atlas,90651365
9100,9100,9100,pthread_blis,540739170
9200,9200,9200,blis,92229396
9200,9200,9200,para_blis,33086411
9200,9200,9200,atlas,92384697
9200,9200,9200,pthread_blis,581804828
9300,9300,9300,blis,94472272
9300,9300,9300,para_blis,33058977
9300,9300,9300,atlas,95728706
9300,9300,9300,pthread_blis,1678571303
9400,9400,9400,blis,97725658
9400,9400,9400,para_blis,34495786
9400,9400,9400,atlas,99464935
9400,9400,9400,pthread_blis,1372794590
9500,9500,9500,blis,100942111
9500,9500,9500,para_blis,34947052
9500,9500,9500,atlas,104418004
9500,9500,9500,pthread_blis,
9600,9600,9600,blis,103417476
9600,9600,9600,para_blis,35605153
9600,9600,9600,atlas,104629525
9600,9600,9600,pthread_blis,
9700,9700,9700,blis,107238697
9700,9700,9700,para_blis,37531251
9700,9700,9700,atlas,108596359
9700,9700,9700,pthread_blis,
9800,9800,9800,blis,109969585
9800,9800,9800,para_blis,37472978
9800,9800,9800,atlas,111528224
9800,9800,9800,pthread_blis,
9900,9900,9900,blis,114623641
9900,9900,9900,para_blis,39845503
9900,9900,9900,atlas,116455390
9900,9900,9900,pthread_blis,
10000,10000,10000,blis,117045994
10000,10000,10000,para_blis,40029197
10000,10000,10000,atlas,119646080
10000,10000,10000,pthread_blis,
