M,K,N,Command,Elapsed Time
4200,4200,4200,pthread_blis,60713348
4300,4300,4300,blis,9508348
4300,4300,4300,para_blis,3258013
4300,4300,4300,atlas,9925164
4300,4300,4300,pthread_blis,60734407
4400,4400,4400,blis,10154539
4400,4400,4400,para_blis,3646460
4400,4400,4400,atlas,10158004
4400,4400,4400,pthread_blis,69889262
4500,4500,4500,blis,10853805
4500,4500,4500,para_blis,3740914
4500,4500,4500,atlas,10988809
4500,4500,4500,pthread_blis,70775808
4600,4600,4600,blis,11579296
4600,4600,4600,para_blis,3992346
4600,4600,4600,atlas,11639848
4600,4600,4600,pthread_blis,76506648
4700,4700,4700,blis,12336103
4700,4700,4700,para_blis,4291379
4700,4700,4700,atlas,12749862
4700,4700,4700,pthread_blis,79608776
4800,4800,4800,blis,13112580
4800,4800,4800,para_blis,4444015
4800,4800,4800,atlas,13172938
4800,4800,4800,pthread_blis,88010559
4900,4900,4900,blis,13930999
4900,4900,4900,para_blis,4797451
4900,4900,4900,atlas,14167015
4900,4900,4900,pthread_blis,89138433
5000,5000,5000,blis,14807592
5000,5000,5000,para_blis,5046939
5000,5000,5000,atlas,14882621
5000,5000,5000,pthread_blis,96408988
5100,5100,5100,blis,15762494
5100,5100,5100,para_blis,5452791
5100,5100,5100,atlas,16217908
5100,5100,5100,pthread_blis,108552282
5200,5200,5200,blis,16656778
5200,5200,5200,para_blis,5783937
5200,5200,5200,atlas,16700290
5200,5200,5200,pthread_blis,108841357
5300,5300,5300,blis,17676833
5300,5300,5300,para_blis,6119921
5300,5300,5300,atlas,17863647
5300,5300,5300,pthread_blis,112387116
5400,5400,5400,blis,18636887
5400,5400,5400,para_blis,6515282
5400,5400,5400,atlas,18725231
5400,5400,5400,pthread_blis,119779914
5500,5500,5500,blis,19703978
5500,5500,5500,para_blis,6704581
5500,5500,5500,atlas,20280140
5500,5500,5500,pthread_blis,123067749
5600,5600,5600,blis,20705764
5600,5600,5600,para_blis,7036438
5600,5600,5600,atlas,20924321
5600,5600,5600,pthread_blis,131742974
5700,5700,5700,blis,21887101
5700,5700,5700,para_blis,7467736
5700,5700,5700,atlas,22235977
5700,5700,5700,pthread_blis,136179356
5800,5800,5800,blis,23036422
5800,5800,5800,para_blis,8063569
5800,5800,5800,atlas,23252067
5800,5800,5800,pthread_blis,139815974
5900,5900,5900,blis,24268324
5900,5900,5900,para_blis,8192868
5900,5900,5900,atlas,25001509
5900,5900,5900,pthread_blis,145548328
6000,6000,6000,blis,25397856
6000,6000,6000,para_blis,8543974
6000,6000,6000,atlas,25713762
6000,6000,6000,pthread_blis,150969942
6100,6100,6100,blis,27012203
6100,6100,6100,para_blis,9505555
6100,6100,6100,atlas,27316696
6100,6100,6100,pthread_blis,168092918
6200,6200,6200,blis,28344250
6200,6200,6200,para_blis,9780697
6200,6200,6200,atlas,28518964
6200,6200,6200,pthread_blis,169260708
6300,6300,6300,blis,29688076
6300,6300,6300,para_blis,10449868
6300,6300,6300,atlas,30463308
6300,6300,6300,pthread_blis,176224755
6400,6400,6400,blis,30825555
6400,6400,6400,para_blis,10418039
6400,6400,6400,atlas,31194339
6400,6400,6400,pthread_blis,179375596
6500,6500,6500,blis,32498696
6500,6500,6500,para_blis,11332501
6500,6500,6500,atlas,32870157
6500,6500,6500,pthread_blis,190908697
6600,6600,6600,blis,33821630
6600,6600,6600,para_blis,11503549
6600,6600,6600,atlas,34201416
