M,K,N,Command,Instructions,L1 Cache Misses,L2 Cache Misses,L3 Cache Misses,Elapsed Time
32,64,275,para_blis,30304674,44575,11158,3376,0.011289188
32,64,300,blis,2763610,11724,6335,<not,0.001628077
32,64,300,pool_blis,21597656,611173,569905,24948,0.026647512
32,64,300,pthread_blis,20965749,72322,35533,11870,0.007794131
32,64,300,para_blis,32470359,47707,11003,3716,0.011792933
32,64,350,blis,3137900,12930,6663,<not,0.001848106
32,64,350,pool_blis,25936897,635328,618836,22297,0.028542413
32,64,350,pthread_blis,23955571,80829,38482,2511,0.008610910
32,64,350,para_blis,37244376,53794,11285,4149,0.013268094
32,64,400,blis,3513510,13818,7191,<not,0.001905165
32,64,400,pool_blis,28683780,687884,631329,30868,0.032083431
32,64,400,pthread_blis,26954270,88990,40494,5419,0.009433096
32,64,400,para_blis,43468575,59770,11261,3460,0.014990786
32,100,32,blis,940087,6450,5530,<not,0.001035715
32,100,32,pool_blis,6806423,190089,184193,4437,0.008469845
32,100,32,pthread_blis,6406480,28021,23918,1308,0.003202892
32,100,32,para_blis,9129831,16097,4712,450,0.003816088
32,100,64,blis,1317406,7432,5888,<not,0.001162721
32,100,64,pool_blis,10155814,284772,267529,5325,0.012225411
32,100,64,pthread_blis,9422675,36143,26016,791,0.004587439
32,100,64,para_blis,13577619,22263,4868,352,0.005469147
32,100,100,blis,1762954,8587,6113,<not,0.001396029
32,100,100,pool_blis,13424436,385540,367437,14003,0.016608635
32,100,100,pthread_blis,12982471,45270,29083,7761,0.005276879
32,100,100,para_blis,44213024,89601,54658,45690,0.009549190
32,100,128,blis,2072471,9350,6431,<not,0.001546461
32,100,128,pool_blis,17471852,449679,434027,11283,0.019653090
32,100,128,pthread_blis,15452839,50681,32644,1370,0.006245553
32,100,128,para_blis,48986397,116113,69057,90429,0.011413147
32,100,150,blis,2341025,10137,6532,<not,0.001509330
32,100,150,pool_blis,20205706,505866,486980,14878,0.022315862
32,100,150,pthread_blis,17597900,55994,33488,7350,0.006752335
32,100,150,para_blis,56079819,126299,75539,95762,0.012160811
32,100,170,blis,2590954,10567,6487,<not,0.001659300
32,100,170,pool_blis,22038854,557884,532376,13823,0.024015031
32,100,170,pthread_blis,19601164,61315,37480,2994,0.007246968
32,100,170,para_blis,46271570,99827,49107,67072,0.013243119
32,100,200,blis,2921309,11233,6672,<not,0.002094876
32,100,200,pool_blis,23252083,633451,607510,12716,0.034258025
32,100,200,pthread_blis,22239249,66588,38072,3702,0.009558872
32,100,200,para_blis,44287775,68699,15584,26967,0.016004766
32,100,220,blis,3178149,12041,6932,<not,0.001744304
32,100,220,pool_blis,27738564,692687,659985,25476,0.030709966
32,100,220,pthread_blis,24290161,72332,41360,11143,0.008935694
32,100,220,para_blis,38416225,58833,12325,8871,0.014153529
32,100,256,blis,3581697,12806,7177,<not,0.002025317
32,100,256,pool_blis,30285561,814328,772802,31419,0.035383866
